country,alum_survey,survey_year,consent,gep_id,school_graduation,year_program,same_residence,girl_age,n2_a1,n2_a2,n2_a3,n2_a4,n2_a5,n2_a6,n2_a7,n2_a8,n2_a9,n3_b1,n3_b2,n3_b3,n3_b4,n3_b5,n4_c1,n4_c2_a,n4_c2_b,n4_c2_c,n4_c2_d,n4_c2_e,n4_c2_f,n4_c2_g,n4_c2_h,n4_c2_i,n4_c2_j,n4_c2_k,n4_c3_a,n4_c3_b,n4_c3_c,n4_c3_d,n4_c3_e,n4_c3_f,n4_c3_g,n4_c3_h,n4_c3_i,n4_c3_j,n4_c3_k,n5_d1,n5_d2,n5_d3,n5_d4,n5_d5,n5_d6,n5_d7,n2_a4_KH,n2_a5_KH,n2_a4_NP,n2_a5_NP
Bangladesh,0,2024,Yes,BD-GEP-16-0617,2023,7,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0699,2023,8,Yes,20,0,0,,,,,0,0,,Married,19,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-17-0715,2023,6,0,20,Yes,Yes,,,Medical Degree,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0289,2023,8,Yes,21,0,0,,,,,0,0,,Married,19,Yes,1,20,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-18-0128,2023,6,Yes,21,0,0,,,,,0,0,,Married,19,Yes,1,20,0,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Partially,,,,Yes,,,,,,Partially,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0068,2023,7,Yes,20,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0528,2023,7,Yes,21,Yes,Yes,,,University,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0717,2023,7,Yes,20,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,0,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,Partially,,,,Yes,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0448,2023,7,0,20,Yes,Yes,,,University,Full time,0,0,,Married,20,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0338,2023,7,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,0,,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0075,2023,7,0,21,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0151,2023,8,0,21,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0196,2023,7,0,19,0,0,,,,,0,0,,Married,17,Yes,1,19,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-17-0795,2023,6,Yes,21,0,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0480,2023,7,Yes,20,0,0,,,,,Yes,0,0,Never married,,,,,"yes, all the time",Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0103,2023,7,Yes,21,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0537,2023,7,Yes,21,0,0,,,,,Yes,0,0,Never married,,,,,0,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,,Partially,,,Yes,Partially,Partially,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0697,2023,7,Yes,20,0,0,,,,,Yes,Yes,Yes,Never married,,,,,0,No,No,No,No,Yes,No,No,Yes,No,No,No,,,,,Partially,,,Yes,,,,0,0,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0462,2023,7,Yes,22,0,0,,,,,0,0,,Never married,,,,,0,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Partially,,Partially,,,,,Yes,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0045,2023,7,Yes,20,0,0,,,,,0,0,,Married,19,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,0,,Yes,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-17-0023,2023,7,Yes,20,Yes,Yes,,,University,Full time,Yes,0,0,Never married,,,,,"yes, all the time",No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,Partially,Yes,Yes,Yes,Yes,,,,0,Yes,Yes,Yes,4,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0057,2023,7,Yes,21,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0073,2023,7,Yes,19,Yes,Yes,,,University,Full time,0,0,,Married,17,0,,,0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0008,2023,7,Yes,21,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,No,No,Yes,No,No,No,No,No,No,No,No,,,Yes,,,,,,,,,0,Yes,Yes,0,,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0002,2023,7,0,21,Yes,Yes,,,University,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0155,2023,8,0,21,Yes,Yes,,,University,Full time,Yes,0,Yes,Married,19,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0353,2023,7,Yes,20,0,Yes,,,University,Full time,0,0,,Never married,,,,,0,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-15-0116,2023,8,Yes,21,0,Yes,,,Post-Secondary -Technical/Vocational,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,0,,Yes,To a great extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0214,2023,7,0,21,0,0,,,,,0,0,,Married,18,0,,,0,No,No,Yes,No,No,No,No,Yes,No,No,No,,,No,,,,,No,,,,0,0,0,0,,No,To some extent,,,,
Bangladesh,0,2024,Yes,BD-GEP-16-0268,2023,7,0,21,0,0,,,,,0,0,,Married,19,Yes,1,20,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To some extent,,,,
Bangladesh,1 Year,2023,Yes,BD-GEP-11-0221,2021,7,Yes,19,0,0,,,,,0,0,,Married,17,Yes,1,18,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
Bangladesh,1 Year,2023,Yes,BD-GEP-11-0104,2018,7,Yes,23,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Not at all helpful,No,To some extent,,,,
Bangladesh,1 Year,2023,Yes,BD-GEP-11-0117,2018,7,Yes,22,0,0,,,,,0,0,,Married,20,Yes,2,21,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,,No,No,,Partially,,Partially,Yes,,Yes,0,0,0,0,,No,To some extent,,,,
Bangladesh,1 Year,2023,Yes,BD-GEP-11-0035,2018,7,Yes,23,Yes,0,0,,,,0,0,,Married,22,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-2739,2022,6,0,20,Yes,0,0,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To some extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-1999,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-15-2089,2022,8,Yes,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1278,2022,6,Yes,,0,0,,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To some extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-1747,2022,6,0,20,Yes,Yes,,,,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Somewhat helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-2035,2022,6,0,,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1188,2022,6,0,20,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Somewhat helpful,No,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-2137,2022,6,0,20,Yes,Yes,,,,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0010,2022,6,0,20,Yes,Yes,,,,0,0,0,,Married,19,0,,,"yes, all the time",No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Partially,Yes,Yes,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,Short-term career program or course (less than or equal to 2 years),,
Cambodia,0,2023,Yes,KH-GEP-16-2297,2022,6,Yes,20,0,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To some extent,,Short-term career program or course (less than or equal to 2 years),,
Cambodia,0,2023,Yes,KH-GEP-16-1505,2022,6,Yes,,Yes,Yes,,,,Full time,0,0,,Never married,,,,,0,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,,Yes,,,Partially,Yes,,,,,0,,0,Yes,Very helpful,No,To some extent,,A subsidiary or certificate or course (a type that learns less than or 2 years),,
Cambodia,0,2023,Yes,KH-GEP-15-0618,2022,7,0,20,Yes,Yes,,,,Full time,0,0,,Never married,,,,,0,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,Yes,,Yes,,,,0,0,0,Yes,Very helpful,No,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1523,2022,6,0,20,0,0,,,,,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To a great extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-1211,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0177,2022,6,Yes,19,0,0,,,,,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To some extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-2028,2022,6,0,19,Yes,Yes,,,,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1645,2022,6,0,,Yes,Yes,,,,Full time,0,0,,Never married,,,,,0,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,,Partially,Partially,,,,0,0,0,Yes,Very helpful,Yes,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1288,2022,6,0,,0,0,,,,,Yes,0,Yes,Never married,,,,,0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,0,0,0,Yes,Very helpful,No,To some extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-1716,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0594,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0212,2022,6,0,19,Yes,Yes,,,,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,0,Yes,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-2650,2022,6,0,20,Yes,0,0,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,0,Yes,Very helpful,Yes,To some extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-0272,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Somewhat helpful,Yes,To some extent,,A subsidiary or certificate or course (a type that learns less than or 2 years),,
Cambodia,0,2023,Yes,KH-GEP-16-0204,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0600,2022,6,0,18,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-17-2232,2022,5,0,18,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0628,2022,6,0,19,0,0,,,,,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,No,To a great extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-2514,2022,6,0,19,Yes,0,0,,,,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Very helpful,Yes,To a great extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-1487,2022,6,0,19,0,0,,,,,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To some extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-2006,2022,6,0,,Yes,Yes,,,,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0388,2022,6,0,18,Yes,Yes,,,,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0373,2022,6,0,19,Yes,Yes,,,,Full time,Yes,0,Yes,Never married,,,,,0,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,Yes,0,0,0,Yes,Very helpful,Yes,To some extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1990,2022,6,0,20,Yes,Yes,,,,Full time,Yes,0,Yes,Never married,,,,,0,No,No,Yes,No,No,No,No,Yes,No,No,No,,,Yes,,,,,Partially,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-0706,2022,6,0,20,Yes,Yes,,,,Full time,Yes,0,0,Never married,,,,,0,No,No,Yes,No,No,No,No,No,No,No,No,,,Partially,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-2664,2022,6,Yes,19,0,0,,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-0331,2022,6,0,19,0,0,,,,,0,0,,Never married,,,,,0,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,,,,Partially,,Yes,,Partially,,,No,0,0,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
Cambodia,0,2023,Yes,KH-GEP-16-0612,2022,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Somewhat helpful,No,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-2062,2022,6,Yes,18,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2023,Yes,KH-GEP-16-1120,2022,6,Yes,19,0,0,,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Very helpful,No,To some extent,,,,
Cambodia,0,2024,Yes,KH-GEP-17-0974,2023,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To a great extent,,Bachelors degree or equivalent,,
Cambodia,0,2024,Yes,KH-GEP-17-2148,2023,6,0,19,Yes,Yes,,,,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,Bachelors degree or equivalent,,
